,emotion,movieTime,users
2021-02-26 11:23:55+09:00,10.0,0.0,user1
2021-02-26 11:24:48+09:00,10.0,0.0,user4
2021-02-26 11:24:58+09:00,10.0,0.0,user3
2021-02-26 11:25:04+09:00,1.0,16.10192108154297,user4
2021-02-26 11:25:12+09:00,1.0,77.23648488521576,user1
2021-02-26 11:25:15+09:00,0.0,27.25203502178192,user4
2021-02-26 11:25:18+09:00,0.0,20.895891070365906,user3
2021-02-26 11:25:21+09:00,1.0,32.86879301071167,user4
2021-02-26 11:25:25+09:00,2.0,36.520302057266235,user4
2021-02-26 11:25:34+09:00,1.0,98.9920779466629,user1
2021-02-26 11:25:36+09:00,1.0,48.33694005012512,user4
2021-02-26 11:25:40+09:00,0.0,51.94784200191498,user4
2021-02-26 11:25:45+09:00,1.0,57.07877504825592,user4
2021-02-26 11:25:48+09:00,2.0,59.60368001461029,user4
2021-02-26 11:25:51+09:00,0.0,63.206499099731445,user4
2021-02-26 11:25:53+09:00,1.0,65.1049211025238,user4
2021-02-26 11:26:15+09:00,2.0,86.59720301628113,user4
2021-02-26 11:26:32+09:00,1.0,157.31629598140717,user1
2021-02-26 11:26:40+09:00,1.0,164.67514789104462,user1
2021-02-26 11:26:43+09:00,10.0,0.0,user2
2021-02-26 11:26:58+09:00,1.0,15.105605006217957,user2
2021-02-26 11:27:06+09:00,0.0,22.952731013298035,user2
2021-02-26 11:27:19+09:00,2.0,204.21207189559937,user1
2021-02-26 11:27:19+09:00,0.0,35.98651194572449,user2
2021-02-26 11:27:28+09:00,2.0,44.646044969558716,user2
2021-02-26 11:27:31+09:00,1.0,153.58022010326385,user3
2021-02-26 11:27:34+09:00,3.0,165.63563907146454,user4
2021-02-26 11:27:36+09:00,-2.0,53.096498012542725,user2
2021-02-26 11:27:52+09:00,2.0,174.86968410015106,user3
2021-02-26 11:28:03+09:00,2.0,79.69236898422241,user2
2021-02-26 11:28:08+09:00,3.0,190.3871500492096,user3
2021-02-26 11:28:17+09:00,0.0,199.58115911483765,user3
2021-02-26 11:28:20+09:00,1.0,202.6933090686798,user3
2021-02-26 11:28:28+09:00,0.0,210.64800703525543,user3
2021-02-26 11:28:30+09:00,2.0,221.82495403289795,user4
2021-02-26 11:28:32+09:00,1.0,108.75961899757385,user2
2021-02-26 11:28:32+09:00,3.0,276.8629779815674,user1
2021-02-26 11:28:40+09:00,2.0,222.57655310630798,user3
